"id","sourcePhase","sourceDate","content","phraseTags","emotionalStateTag","phaseDnaTag","createdAt"
60011,PH1,"2018-03-10T00:00:00.000Z",The twenty-year painting career was not abandoned through failure but through deliberate immolation. The destruction of prior artistic identity as prerequisite to creative freedom. Controlled ego-death functioning simultaneously as spiritual practice and professional rebirth.,"[""ego death"",""immolation"",""rebirth"",""deliberate destruction"",""twenty years""]",sovereign,PH1,"2026-03-06T08:12:34.000Z"
60012,PH1,"2018-04-01T00:00:00.000Z","It is up to me how I use these formulas, how I relate to this presence, how I create my own life. Calm and peaceful reflection, perhaps even a way to help initiate meditation.","[""self-determination"",""meditation"",""calm"",""formulas"",""presence""]",grounded,PH1,"2026-03-06T08:12:35.000Z"
60013,PH1,"2015-12-01T00:00:00.000Z",The crisis period culminated in what the artist calls an explicit tipping point marking a clear before and after. Everything prior was eliminated. Visual austerity matching psychological stripping.,"[""tipping point"",""before and after"",""elimination"",""stripping""]",crisis-breakthrough,PH1,"2026-03-06T08:12:35.000Z"
60014,PH1A,"2018-09-01T00:00:00.000Z","The Peninsula Hotel commission and institutional works represented the formal vocabulary surviving exposure to public, commercial contexts. Sacred geometry entering luxury spaces without losing philosophical integrity.","[""Peninsula Hotel"",""institutional"",""commercial"",""luxury"",""philosophical integrity""]",professional-confident,PH1A,"2026-03-06T08:12:35.000Z"
60015,PH1A,"2019-01-01T00:00:00.000Z","PH1A introduced metallic paint and large-scale formats, establishing the luxury-spiritual hybrid positioning. Gilding converts existential inquiry into collectible object, creating deliberate ambivalence about sincerity versus instrumentalization.","[""metallic paint"",""large scale"",""luxury-spiritual hybrid"",""ambivalence""]",strategic,PH1A,"2026-03-06T08:12:35.000Z"
60016,PH2,"2019-06-01T00:00:00.000Z","The torus systems and continuous knotwork represented alignment claimed as philosophical position. Gold indexes illumination, the solar-celestial plane; copper marks the terrestrial-material plane. The form remains constant across both fields.","[""torus"",""alignment"",""gold"",""copper"",""knotwork"",""binary existence""]",aligned,PH2,"2026-03-06T08:12:36.000Z"
60017,PH2,"2019-08-01T00:00:00.000Z","The circle functions simultaneously as formal composition, existential state of harmony with the universe, and practice method synchronizing art and spirituality. This polysemy is the phase's foundational conceptual innovation.","[""circle"",""polysemy"",""harmony"",""synchronizing"",""innovation""]",synthesizing,PH2,"2026-03-06T08:12:36.000Z"
60018,PH2,"2020-01-01T00:00:00.000Z","Studio method privileges hand-drawn, subtractive-reconstructive processes: hundreds of preparatory sketches, distillation to the essential circle, then rebuilding through intensive micro-line labor documented as meditative practice.","[""micro-line"",""meditative"",""subtractive"",""distillation"",""hand-drawn""]",disciplined,PH2,"2026-03-06T08:12:36.000Z"
60019,PH2A,"2020-03-01T00:00:00.000Z",Ode to Therion deploys the most intensive one-shot ink labor in the phase to create a visual paradox: disciplined method describing anarchic release. The permanence of the ink symbolizes the irreversible nature of complete self-actualization.,"[""Therion"",""one-shot"",""paradox"",""irreversible"",""self-actualization""]",ecstatic-intense,PH2A,"2026-03-06T08:12:36.000Z"
60020,PH2A,"2020-02-01T00:00:00.000Z","PH2A radicalizes the studio method by introducing the one-shot constraint, converting iterative exploration into ritualized finality. The Thelemic aeonic framing maps Isis, Osiris, Hadit, Hoor Pa Kraat into geometric form.","[""one-shot"",""ritual"",""Thelema"",""aeons"",""finality""]",ritualistic,PH2A,"2026-03-06T08:12:36.000Z"
60021,PH2,"2019-10-01T00:00:00.000Z","PH2 answers the crisis PH1 posed. The circle replaces the rectangle, gold and copper replace monochrome austerity, and the philosophical stance shifts from questioning to claimed alignment. The direction of deployment changes entirely.","[""crisis answered"",""circle replaces rectangle"",""alignment"",""evolution""]",resolved,PH2,"2026-03-06T08:12:37.000Z"
60022,PH2A,"2020-04-01T00:00:00.000Z",The alignment fails to hold. The dense knotwork and persistent emphasis on intense inner dialogue beneath the resolved surface suggest instability held in check rather than eliminated. What follows must navigate the aftermath.,"[""instability"",""aftermath"",""inner dialogue"",""failure to hold""]",precarious,PH2A,"2026-03-06T08:12:37.000Z"
60023,PH3,"2021-06-01T00:00:00.000Z","Not so much a cohesive art phase so much as it is a chaotic phase of turmoil and self discovery, pain, sadness, happiness and joy and the beginning of living life honestly.","[""turmoil"",""self discovery"",""honesty"",""chaos"",""mixed emotions""]",raw-honest,PH3,"2026-03-06T08:12:37.000Z"
60024,PH3,"2021-01-01T00:00:00.000Z","The internal struggles and depression, loneliness, need to fill the void in my life with self destructive impulses like drugs and alcohol and fleeting relationships, coupled with the COVID 19 environment meant I did not produce very much meaningful exhibition quality artwork.","[""depression"",""loneliness"",""self-destruction"",""void"",""COVID"",""drought""]",crisis,PH3,"2026-03-06T08:12:37.000Z"
60025,PH3,"2021-03-01T00:00:00.000Z","This is where I began to truly look inward at myself, who I am, what I believe, what I want, what genuinely makes me happy, who I am as a man and as a human being.","[""introspection"",""identity"",""values"",""self-knowledge""]",awakening,PH3,"2026-03-06T08:12:38.000Z"
60026,PH3,"2021-09-01T00:00:00.000Z","I kind of hit a point where I just like, I no longer cared about any of it. And then that is when I just boiled it down to a circle and then from there, I started building up again. The circle emerges when all other concerns are finally abandoned.","[""rock bottom"",""circle"",""distillation"",""rebuilding"",""not caring""]",surrender,PH3,"2026-03-06T08:12:38.000Z"
60027,PH3,"2021-10-01T00:00:00.000Z",The circle in PH3 is not a universal symbol adopted from tradition; it is what remains when everything else has been stripped away. It functions simultaneously as the minimum viable geometric unit and the maximum available psychological container.,"[""minimum viable"",""psychological container"",""stripped away"",""crisis residue""]",distilled,PH3,"2026-03-06T08:12:38.000Z"
60028,PH3,"2022-01-01T00:00:00.000Z","I don't necessarily feel like I am a creative person. I feel like I am a conduit that creativity flows through me. If I can get into the right resonant frequency zone, mentally, spiritually, physically, then the ideas flow through me.","[""conduit"",""resonant frequency"",""creativity flows through"",""not creator but receiver""]",channeling,PH3,"2026-03-06T08:12:38.000Z"
60029,PH3,"2022-02-01T00:00:00.000Z","Instead of trying to come up with ideas, instead of trying to force thoughts or force creative expression, I just need to listen, and it will come to me. The self becomes a vessel, an antenna tuned to the correct frequency.","[""listening"",""vessel"",""antenna"",""not forcing"",""conduit""]",receptive,PH3,"2026-03-06T08:12:38.000Z"
60030,PH3,"2021-12-01T00:00:00.000Z",The idea of spirituality and energy and my sort of occult esoteric beliefs and feng shui on one side. And then physics and math and science and rationalism on the other side. And I realized they were not competing forces. They were actually two sides of the same coin explaining the exact same thing.,"[""two sides"",""spirituality"",""physics"",""reconciliation"",""same coin""]",epiphany,PH3,"2026-03-06T08:12:39.000Z"
60031,PH3,"2022-04-01T00:00:00.000Z","Closed Hong Kong studio, sold furniture, placed items of value in storage, and left. First to Istanbul for a twenty-four-hour layover, then to Canada for six months of reconnection with family and friends in Ottawa and Toronto.","[""leaving Hong Kong"",""studio closed"",""Istanbul"",""Canada"",""reconnection""]",departing,PH3,"2026-03-06T08:12:39.000Z"
60032,PH3,"2022-06-01T00:00:00.000Z","I can sit by myself at a bar looking out over the street and just watch people interact through their normal, mundane, everyday lives for hours and hours and hours with perfect contentment. Like a receptor to all that chi, all that life energy, all that chaos around me.","[""observation"",""flânerie"",""chi"",""life energy"",""contentment"",""receptor""]",absorbed,PH3,"2026-03-06T08:12:39.000Z"
60033,PH3,"2022-08-01T00:00:00.000Z","I really genuinely feel like I'm only just getting started. The insecurity and jealousy, comparing to more successful peers, cycling between confidence and self-doubt never fully resolves, but the self-doubt shifts register. No longer about whether the work is valid; about how much further it can go.","[""just getting started"",""insecurity"",""comparison"",""confidence cycling""]",hopeful-uncertain,PH3,"2026-03-06T08:12:39.000Z"
60034,PH3,"2020-11-01T00:00:00.000Z","The marital separation from Thierry Chow was extremely amicable but still life changing. The cumulative weight of isolation, loss of domestic structure, and a world locked down triggered a protracted psychological unravelling.","[""divorce"",""Thierry Chow"",""amicable"",""isolation"",""unravelling""]",grief,PH3,"2026-03-06T08:12:40.000Z"
60035,PH3A,"2023-06-29T00:00:00.000Z","Celestial Secrets exhibition at West Eden Gallery, Bangkok. The four-pillar architecture: Saturn, Sacred Geometry, Space, Spirituality. Gold equals spiritual absolute; ink equals vibrational field. The first test of the portable, nomadic practice model.","[""Celestial Secrets"",""West Eden"",""Bangkok"",""four pillars"",""nomadic practice""]",codified,PH3A,"2026-03-06T08:12:40.000Z"
60036,PH3A,"2023-07-01T00:00:00.000Z",PH3A translates intuitively discovered geometric containment into an explicit architecture with formalized material semiotics. Sacred Geometry graduates from stylistic choice to ontological commitment. The artist treats geometric form as literally encoding the structure of reality.,"[""ontological commitment"",""sacred geometry"",""material semiotics"",""encoding reality""]",systematic,PH3A,"2026-03-06T08:12:40.000Z"
60037,PH3A,"2023-03-01T00:00:00.000Z","The geometric containment tested under crisis conditions in PH3 is later transgressed, transformed, and exceeded as the artist's confidence and embodied practice mature. The controlled geometric systems that held chaos at bay are later exploded.","[""containment transgressed"",""confidence"",""exploded"",""maturation""]",anticipatory,PH3A,"2026-03-06T08:12:40.000Z"
60038,PH4,"2024-05-12T00:00:00.000Z","The artist operates in a process-ontology where meaning emerges through material engagement rather than preceding it. In flow state during work, not thinking about external frameworks, just painting, watching ink react with paper, listening to music, dancing, smoking.","[""process-ontology"",""flow state"",""material engagement"",""meaning emerges""]",flowing,PH4,"2026-03-06T08:12:40.000Z"
60039,PH4,"2024-05-15T00:00:00.000Z","I'm still standing. The dominant emotional trajectory moves from cautious opening to increasingly vulnerable exposure, each entry removing another layer of protective concealment.","[""still standing"",""vulnerability"",""exposure"",""layers removed""]",resilient,PH4,"2026-03-06T08:12:41.000Z"
60040,PH4,"2024-06-01T00:00:00.000Z","Feeling happy to be alive more and more with every day coexists with it can be lonely at times too, with no one ever knowing the real you. Joy and loneliness are not mutually exclusive but interwoven.","[""alive"",""lonely"",""interwoven"",""joy and loneliness"",""real you""]",bittersweet,PH4,"2026-03-06T08:12:41.000Z"
60041,PH4,"2024-06-15T00:00:00.000Z","Deeply emotional, sensitive, and poetic, almost to a debilitating degree. The qualifier debilitating indicates that emotional intensity is experienced as both gift and burden, requiring defensive adaptation.","[""emotional intensity"",""sensitive"",""poetic"",""debilitating"",""gift and burden""]",overwhelmed,PH4,"2026-03-06T08:12:41.000Z"
60042,PH4,"2024-06-20T00:00:00.000Z","I have always been my own worst critic, and my own worst gate keeper. The emotional texture is one of internal warfare, the expressive self struggling against the ordering self.","[""self-critic"",""gatekeeper"",""internal warfare"",""expressive vs ordering""]",conflicted,PH4,"2026-03-06T08:12:41.000Z"
60043,PH4,"2024-07-01T00:00:00.000Z","All those moments will be lost in time, like tears in the rain. Roy Batty's death monologue articulates the core anxiety: whether unexpressed, unwitnessed inner life has meaning or reality.","[""Blade Runner"",""tears in rain"",""unwitnessed"",""meaning"",""lost moments""]",existential-dread,PH4,"2026-03-06T08:12:41.000Z"
60044,PH4,"2024-07-10T00:00:00.000Z",The beauty of this world never ceases to amaze me. Am I dreaming? Ethereal nights. These moments of numinous encounter provide counterweight to existential heaviness.,"[""beauty"",""dreaming"",""numinous"",""ethereal"",""wonder""]",awestruck,PH4,"2026-03-06T08:12:42.000Z"
60045,PH4,"2024-07-15T00:00:00.000Z","I never want to stop getting lost. Trying to get lost, so I can stumble across something new. Disorientation reframed as discovery method, echoing psychogeography and situationist dérive.","[""getting lost"",""discovery"",""psychogeography"",""stumble"",""wandering""]",adventurous,PH4,"2026-03-06T08:12:42.000Z"
60046,PH4,"2024-06-10T00:00:00.000Z","I allowed myself to connect with the spirit of the earth, even though I was never able to articulate it nor understand it. The walking practice, long solo traversals through cities absorbing urban chi, functions as both meditative regulation and creative fuel.","[""walking"",""spirit of earth"",""urban chi"",""meditative"",""solo traversals""]",connected,PH4,"2026-03-06T08:12:42.000Z"
60047,PH4,"2024-05-20T00:00:00.000Z","Experimenting like crazy, pushing myself beyond my own mental barriers, working very hard on opening myself up. This is an intentional cognitive disruption strategy, using novelty and discomfort as catalysts.","[""experimenting"",""mental barriers"",""opening up"",""cognitive disruption""]",breaking-through,PH4,"2026-03-06T08:12:42.000Z"
60048,PH4,"2024-07-20T00:00:00.000Z","The journey is the whole point. The artistic process isn't always pretty, but sometimes it's absolutely beautiful. Meaning is located not in outcomes but in becoming.","[""journey"",""process"",""becoming"",""meaning in process""]",processual,PH4,"2026-03-06T08:12:43.000Z"
60049,PH4,"2024-06-25T00:00:00.000Z",Two or three or four different versions of myself. The project of bringing all the versions of me into one. Multiplicity treated normatively rather than pathologically; integration as aspirational ethic.,"[""multiple selves"",""integration"",""versions"",""authenticity""]",fragmented-seeking-wholeness,PH4,"2026-03-06T08:12:43.000Z"
60050,PH4,"2024-08-01T00:00:00.000Z","195 new paintings over almost four months in Vietnam. Depleted financial nest egg with no cash remaining, precipitating departure. A three-day, 600km solo motorbike trip through the mountains near the Laos border as formal closing ritual.","[""195 paintings"",""depleted"",""motorbike"",""mountains"",""closing ritual"",""exhaustion""]",spent-triumphant,PH4,"2026-03-06T08:12:43.000Z"
60051,PH4,"2024-07-25T00:00:00.000Z",The artwork functions as both symptom and treatment of perceptual intensity. The existential daze finds externalization and therefore manageability through obsessive material production. 124+ works in approximately three months suggests ritualized stabilization through making.,"[""symptom and treatment"",""ritualized stabilization"",""obsessive production"",""perceptual intensity""]",manic-productive,PH4,"2026-03-06T08:12:43.000Z"
60052,PH4,"2024-07-05T00:00:00.000Z","If no one knows the real you, do you really exist? The fundamental philosophical tension is between freedom and constraint, but uniquely configured as self-imposed constraint. Externally perceived as non-conformist while internally experiencing imprisonment by a compulsive need for order and logic.","[""do you exist"",""self-imposed constraint"",""freedom paradox"",""order vs expression""]",questioning,PH4,"2026-03-06T08:12:43.000Z"
60053,PH4,"2024-06-05T00:00:00.000Z","Portals, eyes, clouds, nebulas, black holes, stars, planets, the cosmos, both inside our souls and surrounding our existence. The artwork as technology for exploring microcosm-macrocosm correspondence.","[""portals"",""cosmos"",""souls"",""microcosm"",""macrocosm"",""cosmic interiority""]",cosmic,PH4,"2026-03-06T08:12:44.000Z"
60054,PH4,"2024-06-30T00:00:00.000Z",I'm never painting and thinking to myself what would Carl Jung think about this piece. All of that is happening on a subconscious meta level. It works behind the scenes. The work independently discovers positions that philosophers articulated through theory.,"[""subconscious"",""not theorizing"",""independent discovery"",""practice-first""]",intuitive,PH4,"2026-03-06T08:12:44.000Z"
60055,PH4,"2024-07-28T00:00:00.000Z","A bad student of art. Formal art-historical education is minimal. Resonances with established traditions like Abstract Expressionism, Chinese literati painting, Zen calligraphy are convergent rather than derived.","[""self-taught"",""convergent"",""not derived"",""bad student"",""independent arrival""]",defiant,PH4,"2026-03-06T08:12:44.000Z"
60056,PH4,"2024-05-25T00:00:00.000Z","Letting the brush take control and dancing along with it. A channeling model of creativity where the artist becomes vessel rather than author. Aligning with Platonic inspiration, Sufi fana, and automatic writing traditions, though arrived at independently.","[""brush takes control"",""dancing"",""vessel"",""channeling"",""automatic""]",surrendered,PH4,"2026-03-06T08:12:44.000Z"
60057,PH4,"2024-07-30T00:00:00.000Z","PH4 enacts a complete dialectical cycle: from empathic explosion through defensive contraction through concentrated focus through contemplative distance to integrated resolution. Six artwork series as stations in a journey, each with distinct material systems. Structure emerged through intuitive practice rather than conscious design.","[""dialectical cycle"",""six series"",""stations"",""intuitive structure"",""emergence""]",integrated,PH4,"2026-03-06T08:12:45.000Z"
60058,PH4,"2024-08-02T00:00:00.000Z","The burning library metaphor drawn from a past girlfriend's remark: the destruction of unshared memories. If everything were lost, what would remain? A central structuring image for memory, archive, and legacy across the practice.","[""burning library"",""unshared memories"",""legacy"",""loss"",""what remains""]",haunted,PH4,"2026-03-06T08:12:45.000Z"
60059,PH4,"2024-06-18T00:00:00.000Z","A form of meditation and one of my most important rituals. Floating as a leaf on a breeze. Urban wandering sacralizes the mundane practice. Taoist wu-wei, actionless action, and surrender to natural flow.","[""meditation"",""ritual"",""flânerie"",""wu-wei"",""floating"",""leaf on breeze""]",meditative,PH4,"2026-03-06T08:12:45.000Z"
60060,PH4,"2024-06-22T00:00:00.000Z","The existential daze characterized by heightened perception, liminal sleep states, surreal adventures, and visceral life-experience. Experienced as non-pathological liminal states, not clinical dissociation. Hypnagogic and liminal states play the role of visionary access points.","[""existential daze"",""liminal states"",""heightened perception"",""hypnagogic"",""visionary""]",liminal,PH4,"2026-03-06T08:12:45.000Z"
60061,PH4,"2024-05-30T00:00:00.000Z","From a young age built emotional walls. Early sensitivity led to defensive adaptation that persisted into adulthood, a lifetime architecture being consciously disassembled. The journal project itself is positioned as active dismantling of these barriers.","[""emotional walls"",""early sensitivity"",""defensive adaptation"",""dismantling barriers""]",dismantling,PH4,"2026-03-06T08:12:45.000Z"
60062,PH4,"2024-07-18T00:00:00.000Z","The compulsive need for order and logic conflicts with spontaneous expression. The Vietnam period represents an attempt to privilege intuition, to let the brush take control rather than directing it.","[""order vs intuition"",""spontaneous"",""privilege intuition"",""Vietnam""]",tension,PH4,"2026-03-06T08:12:46.000Z"
60063,PH4,"2024-07-22T00:00:00.000Z","The dual-ink system: Chinese and Western ink encodes the phase's core ontological tension: insider/outsider, absorption/imposition, substrate/stranger. This is not palette variation but material philosophy.","[""dual ink"",""insider/outsider"",""material philosophy"",""stranger"",""substrate""]",experimental,PH4,"2026-03-06T08:12:46.000Z"
60064,PH4,"2024-08-03T00:00:00.000Z",Constraint-as-catalyst is confirmed as core methodology: material limitations force innovation and prevent stylistic ruts. What looks like deliberate choice is often circumstantial improvisation that the unconscious finds use for.,"[""constraint as catalyst"",""improvisation"",""limitation drives innovation"",""unconscious""]",resourceful,PH4,"2026-03-06T08:12:46.000Z"
60065,PH4A,"2024-08-14T00:00:00.000Z","The central question shifts from am I real if unwitnessed to why do I repeatedly destroy myself for love, and what does that reveal about being alive. Not abandonment of the prior project but its social stress-test.","[""love"",""self-destruction"",""stress-test"",""being alive"",""social inquiry""]",tortured,PH4A,"2026-03-06T08:12:46.000Z"
60066,PH4A,"2024-09-01T00:00:00.000Z","The court-jester persona is not experienced as strategic defense but as something loathed, a compulsive performance the artist resents rather than deploys. The mask is not armor but trap.","[""court jester"",""mask"",""trap"",""loathed performance"",""compulsive""]",self-loathing,PH4A,"2026-03-06T08:12:47.000Z"
60067,PH4A,"2024-10-01T00:00:00.000Z","Love as the most addictive drug, the most powerful force, and the most dangerous and destructive force in my life. The black hole in the heart is the void demanding filling through romantic attachment regardless of the partner's availability or capacity to reciprocate.","[""love addiction"",""black hole"",""destructive force"",""void"",""romantic attachment""]",addicted,PH4A,"2026-03-06T08:12:47.000Z"
60068,PH4A,"2024-09-15T00:00:00.000Z","For all my self destructive behavior I've always maintained strong cognitive clarity, somehow. Harm reduction is always something I take fairly seriously and do try to balance my self destructive tendencies with healthy things to mitigate the damage.","[""cognitive clarity"",""harm reduction"",""balance"",""self-destructive"",""mitigate""]",self-aware,PH4A,"2026-03-06T08:12:47.000Z"
60069,PH4A,"2024-11-01T00:00:00.000Z","Searching for god, that woman, and myself. God's lonely man. The sacred is located in the encounter with the Other, not in withdrawal from the world. Alienation as quasi-mystical condition.","[""searching for god"",""lonely man"",""Other"",""alienation"",""mystical""]",lonely-seeking,PH4A,"2026-03-06T08:12:47.000Z"
60070,PH4A,"2024-12-01T00:00:00.000Z","The beautiful nightmare framing, the Peter zone, revalues instability as aesthetic choice: terror becomes adventure, nightmare becomes beauty, scraping by becomes creative fuel. Awareness of reality and a light hearted way of framing a serious situation.","[""beautiful nightmare"",""Peter zone"",""instability as aesthetic"",""reframing""]",transmuting,PH4A,"2026-03-06T08:12:47.000Z"
60071,PH4A,"2025-01-01T00:00:00.000Z","Time to change before it's too late, time to start new patterns. The phase terminates not in breakthrough but in exhaustion and tentative intention. PH4A documents the pattern recognition, not its transcendence.","[""new patterns"",""change"",""exhaustion"",""pattern recognition"",""before too late""]",exhausted-hopeful,PH4A,"2026-03-06T08:12:48.000Z"
60072,PH4A,"2025-02-01T00:00:00.000Z","PH4A is primarily a psychological and emotional document, not a visual production phase. The emotional intensity of love addiction and urban immersion consumes the energy normally available for creative production. The journals carry the weight of the phase almost entirely.","[""emotional document"",""no visual output"",""journals carry weight"",""energy consumed""]",drained,PH4A,"2026-03-06T08:12:48.000Z"
60073,PH4A,"2025-03-01T00:00:00.000Z",The creative drought during emotional intensity suggests an either/or relationship between relational immersion and visual production. The artist's process may require insulation from romantic chaos to function at full capacity.,"[""creative drought"",""either/or"",""insulation needed"",""relational chaos""]",barren,PH4A,"2026-03-06T08:12:48.000Z"
60074,PH4A,"2024-10-15T00:00:00.000Z","No diagrams on the scorecard. The path need not be justified to external observers, external validation is secondary to having actually lived. The go all in heuristic: half-measures are experienced as worse dishonesty than full commitment to destructive paths.","[""no diagrams"",""scorecard"",""go all in"",""lived experience"",""no half measures""]",defiant-authentic,PH4A,"2026-03-06T08:12:48.000Z"
60075,PH4A,"2024-11-15T00:00:00.000Z",Strong meta-awareness of patterns coexists with acknowledged inability to change them. Knowing does not equal doing. Insight has not yet produced change. The hopeful romantic turns documented in the journals always revert.,"[""pattern awareness"",""knowing not doing"",""always reverts"",""unable to change""]",trapped,PH4A,"2026-03-06T08:12:48.000Z"
60076,NE,"2025-04-20T00:00:00.000Z",The New Era constitutes the ontological singularity of Project 666. The moment from which the entire practice retrospectively reorganizes itself. Not an evolution from Phase 4 but a categorical rupture: the death of sacred geometry as organizing principle and the birth of physics.,"[""ontological singularity"",""categorical rupture"",""death of geometry"",""birth of physics""]",revolutionary,NE,"2026-03-06T08:12:49.000Z"
60077,NE,"2025-04-25T00:00:00.000Z","These are a radical departure from all the previous work I've ever done. Right now I'm sitting on the precipice of a new era, a deep fundamental change in directions. The shift moves from a Platonic aesthetic to a Heraclitean process ontology of flux, becoming, and irreversible event.","[""radical departure"",""precipice"",""new era"",""Heraclitean"",""flux""]",ecstatic-aware,NE,"2026-03-06T08:12:49.000Z"
60078,NE,"2025-05-01T00:00:00.000Z","With the release of all those blockages and emotions over the last year or two, so with it came the release of that hand brake that was stopping me. I've jumped into the deep end and I'm fully embracing my true creative desire.","[""release"",""hand brake"",""deep end"",""true creative desire"",""blockages released""]",unleashed,NE,"2026-03-06T08:12:49.000Z"
60079,NE,"2025-05-10T00:00:00.000Z",A lifelong desire for aggressive abstraction blocked by a self-imposed hurdle somewhere in my subconscious that always stopped me. Phases 1 through 3A can be read as the containment period; NE is the release. The crisis was the price of the permission.,"[""lifelong desire"",""self-imposed hurdle"",""containment period"",""permission"",""crisis as price""]",liberated,NE,"2026-03-06T08:12:49.000Z"
60080,NE,"2025-05-15T00:00:00.000Z","The nature of ink on paper, having no undo, no back button, its permanence and strength in contrast are so intoxicating but very difficult to learn. In a digital culture of infinite editability, the commitment to irreversible media constitutes a moral stance.","[""no undo"",""permanence"",""irreversible"",""intoxicating"",""moral stance""]",committed,NE,"2026-03-06T08:12:50.000Z"
60081,NE,"2025-05-20T00:00:00.000Z","The 75 to 90 percent rejection rate complicates and enriches this ethic. Total acceptance at the micro-level within the painting, total judgment at the macro-level whether the painting survives. Radical acceptance and ruthless selection coexist sequentially.","[""rejection rate"",""radical acceptance"",""ruthless selection"",""micro vs macro"",""tithe""]",disciplined-ruthless,NE,"2026-03-06T08:12:50.000Z"
60082,NE,"2025-06-01T00:00:00.000Z","I feel that fusion brings something through me bringing Western artistic sensibilities to a very traditional eastern style medium. I don't culturally appropriate it so much as I respect it through deep understanding. I don't just observe it, I live it.","[""East-West fusion"",""not appropriation"",""deep understanding"",""living it"",""hybrid""]",culturally-grounded,NE,"2026-03-06T08:12:50.000Z"
60083,NE,"2025-06-10T00:00:00.000Z","Qi, breath-energy, Pu the uncarved block, and Wu-wei effortless action are not applied as intellectual overlay but embodied through material practice. The Man Luen Choon sifu relationship, the attention to ink quality and paper behavior, the floor-work method.","[""qi"",""wu-wei"",""embodied"",""Man Luen Choon"",""sifu"",""floor-work""]",embodied,NE,"2026-03-06T08:12:50.000Z"
60084,NE,"2025-06-15T00:00:00.000Z","The making gives energy rather than draining it. Fills me with purpose, generates rather than depletes. The risk is not burnout from the practice but from everything around it that might prevent access to the practice. The priority is protecting access.","[""generative energy"",""purpose"",""not depleting"",""protecting access"",""risk is logistics""]",energized,NE,"2026-03-06T08:12:50.000Z"
